parameters:
environment,env_size,num_envs,discount,tau,lr,update_rate,batch_size,device
SingleSnake,10,1300,0.9,0.1,0.0005,10,400,cuda
DATA:
step,mean,median,min,max,std,raw data
100,0.53,0.0,0.0,4.0,0.9105493,1.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0
200,2.88,2.0,0.0,11.0,2.9775157,3.0,8.0,5.0,0.0,0.0,8.0,2.0,4.0,1.0,1.0,5.0,2.0,0.0,7.0,10.0,2.0,7.0,8.0,2.0,4.0,3.0,0.0,6.0,0.0,5.0,6.0,0.0,5.0,1.0,1.0,3.0,1.0,4.0,2.0,7.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,2.0,0.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,6.0,2.0,7.0,9.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,8.0,2.0,2.0,0.0,2.0,5.0,4.0,8.0,2.0,1.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,8.0,7.0,2.0,7.0,0.0,3.0,0.0,9.0,0.0,10.0,5.0,0.0
300,6.41,6.0,0.0,16.0,4.941852,2.0,10.0,16.0,1.0,4.0,2.0,6.0,12.0,9.0,2.0,0.0,8.0,0.0,3.0,9.0,6.0,2.0,12.0,8.0,11.0,8.0,0.0,5.0,2.0,12.0,6.0,16.0,5.0,14.0,8.0,3.0,3.0,9.0,7.0,12.0,12.0,12.0,10.0,10.0,0.0,7.0,15.0,5.0,4.0,2.0,0.0,0.0,8.0,11.0,4.0,5.0,4.0,9.0,9.0,3.0,14.0,7.0,2.0,3.0,11.0,4.0,5.0,2.0,1.0,10.0,0.0,7.0,6.0,1.0,0.0,15.0,6.0,0.0,12.0,11.0,9.0,10.0,0.0,7.0,14.0,9.0,12.0,0.0,10.0,0.0,16.0,0.0,4.0,13.0,14.0,14.0,10.0,3.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0
400,7.37,7.0,0.0,19.0,4.894191,2.0,0.0,15.0,12.0,5.0,2.0,11.0,9.0,11.0,0.0,7.0,7.0,16.0,13.0,11.0,15.0,8.0,19.0,8.0,3.0,5.0,13.0,6.0,5.0,13.0,4.0,12.0,15.0,3.0,6.0,15.0,0.0,1.0,12.0,0.0,5.0,10.0,1.0,7.0,15.0,12.0,6.0,11.0,2.0,5.0,2.0,13.0,5.0,5.0,3.0,5.0,13.0,8.0,18.0,5.0,8.0,3.0,7.0,9.0,6.0,8.0,1.0,3.0,6.0,12.0,12.0,16.0,11.0,11.0,11.0,7.0,0.0,5.0,3.0,9.0,10.0,10.0,7.0,0.0,18.0,0.0,5.0,0.0,11.0,5.0,1.0,9.0,2.0,7.0,8.0,2.0,0.0,12.0,3.0,10.0,5.0,0.0,8.0,13.0,8.0
500,7.19,7.0,0.0,17.0,4.4848523,15.0,10.0,5.0,9.0,17.0,7.0,3.0,4.0,2.0,2.0,4.0,13.0,2.0,4.0,11.0,5.0,6.0,5.0,11.0,7.0,13.0,1.0,15.0,2.0,11.0,0.0,0.0,3.0,6.0,0.0,5.0,3.0,8.0,4.0,7.0,6.0,6.0,11.0,14.0,1.0,9.0,8.0,2.0,1.0,8.0,12.0,8.0,2.0,2.0,9.0,11.0,2.0,8.0,7.0,13.0,3.0,8.0,7.0,10.0,2.0,10.0,12.0,16.0,9.0,14.0,1.0,8.0,14.0,4.0,13.0,12.0,10.0,8.0,3.0,12.0,5.0,11.0,10.0,7.0,12.0,0.0,11.0,7.0,10.0,0.0,4.0,17.0,7.0,9.0,0.0,7.0,5.0,2.0,4.0,11.0,8.0,15.0,3.0,13.0,5.0
600,7.77,7.0,0.0,20.0,5.0316105,9.0,5.0,6.0,4.0,12.0,7.0,4.0,11.0,1.0,17.0,5.0,4.0,2.0,11.0,8.0,1.0,2.0,16.0,1.0,13.0,8.0,4.0,4.0,7.0,0.0,11.0,4.0,4.0,7.0,1.0,10.0,5.0,2.0,11.0,13.0,12.0,8.0,6.0,12.0,6.0,13.0,6.0,5.0,9.0,14.0,9.0,14.0,3.0,10.0,1.0,13.0,5.0,18.0,11.0,2.0,11.0,15.0,11.0,8.0,5.0,11.0,6.0,16.0,4.0,1.0,4.0,18.0,3.0,9.0,15.0,17.0,2.0,1.0,13.0,0.0,1.0,19.0,1.0,7.0,13.0,7.0,2.0,5.0,5.0,13.0,11.0,13.0,6.0,3.0,4.0,1.0,5.0,5.0,20.0,4.0,9.0,10.0,11.0,10.0,15.0
700,9.48,10.0,0.0,19.0,4.6743555,10.0,13.0,12.0,10.0,1.0,13.0,15.0,4.0,17.0,3.0,10.0,2.0,17.0,11.0,6.0,12.0,8.0,6.0,9.0,8.0,10.0,4.0,14.0,7.0,6.0,7.0,11.0,0.0,16.0,12.0,0.0,5.0,10.0,9.0,5.0,8.0,7.0,8.0,15.0,15.0,5.0,14.0,11.0,11.0,11.0,7.0,11.0,8.0,12.0,15.0,9.0,1.0,9.0,19.0,1.0,8.0,8.0,4.0,16.0,7.0,11.0,11.0,12.0,10.0,18.0,12.0,13.0,15.0,5.0,16.0,16.0,6.0,4.0,16.0,14.0,17.0,7.0,6.0,11.0,11.0,8.0,13.0,15.0,7.0,12.0,14.0,13.0,0.0,15.0,14.0,0.0,9.0,16.0,4.0,8.0,5.0,3.0,10.0,4.0,4.0
800,8.45,9.0,0.0,20.0,4.4528084,5.0,12.0,8.0,12.0,9.0,14.0,10.0,8.0,7.0,8.0,5.0,8.0,11.0,3.0,9.0,15.0,1.0,12.0,15.0,5.0,14.0,5.0,6.0,17.0,8.0,6.0,11.0,11.0,2.0,6.0,9.0,12.0,7.0,9.0,4.0,18.0,8.0,11.0,3.0,8.0,2.0,1.0,3.0,14.0,2.0,8.0,13.0,11.0,3.0,12.0,10.0,20.0,6.0,11.0,10.0,5.0,11.0,2.0,7.0,13.0,2.0,4.0,6.0,12.0,11.0,12.0,5.0,11.0,0.0,14.0,1.0,11.0,9.0,13.0,15.0,10.0,8.0,5.0,4.0,10.0,10.0,15.0,7.0,7.0,4.0,1.0,11.0,0.0,5.0,11.0,11.0,13.0,14.0,11.0,9.0,5.0,16.0,4.0,0.0,12.0
900,8.82,9.0,1.0,19.0,4.362064,10.0,16.0,3.0,10.0,4.0,8.0,17.0,12.0,4.0,4.0,2.0,4.0,10.0,6.0,11.0,8.0,4.0,10.0,14.0,18.0,8.0,12.0,2.0,11.0,4.0,11.0,9.0,13.0,4.0,6.0,9.0,11.0,9.0,8.0,12.0,11.0,6.0,9.0,16.0,1.0,5.0,5.0,16.0,11.0,9.0,13.0,8.0,2.0,14.0,8.0,5.0,5.0,4.0,9.0,13.0,10.0,11.0,4.0,15.0,7.0,10.0,11.0,2.0,12.0,14.0,7.0,11.0,7.0,2.0,13.0,9.0,5.0,1.0,19.0,10.0,8.0,18.0,13.0,7.0,9.0,13.0,11.0,10.0,5.0,6.0,2.0,8.0,14.0,4.0,1.0,8.0,14.0,8.0,16.0,6.0,10.0,16.0,11.0,2.0,8.0
1000,9.57,9.0,0.0,18.0,3.9931316,5.0,7.0,16.0,17.0,6.0,7.0,9.0,14.0,11.0,16.0,6.0,11.0,8.0,10.0,17.0,6.0,11.0,14.0,7.0,8.0,14.0,2.0,12.0,9.0,12.0,15.0,8.0,9.0,10.0,16.0,14.0,13.0,17.0,7.0,12.0,11.0,8.0,6.0,14.0,13.0,14.0,6.0,17.0,9.0,9.0,12.0,9.0,6.0,8.0,10.0,10.0,9.0,12.0,10.0,8.0,8.0,4.0,5.0,12.0,11.0,8.0,9.0,10.0,0.0,6.0,7.0,9.0,4.0,0.0,5.0,11.0,4.0,10.0,10.0,12.0,2.0,10.0,4.0,8.0,8.0,18.0,9.0,4.0,13.0,16.0,1.0,9.0,8.0,16.0,13.0,7.0,5.0,15.0,8.0,13.0,9.0,9.0,6.0,14.0,10.0
