parameters:
environment,env_size,num_envs,discount,tau,lr,update_rate,batch_size,device
SingleSnake,10,1300,0.99,0.1,0.0005,10,400,cuda
DATA:
step,mean,median,min,max,std,raw data
100,7.83,8.0,0.0,15.0,3.518679,11.0,5.0,14.0,9.0,7.0,5.0,7.0,12.0,6.0,4.0,9.0,12.0,4.0,8.0,9.0,6.0,10.0,10.0,9.0,12.0,8.0,1.0,6.0,4.0,4.0,6.0,1.0,4.0,6.0,3.0,10.0,4.0,9.0,5.0,4.0,6.0,8.0,9.0,11.0,4.0,5.0,12.0,13.0,9.0,8.0,0.0,12.0,13.0,9.0,11.0,8.0,13.0,11.0,11.0,8.0,10.0,0.0,10.0,10.0,6.0,9.0,8.0,8.0,9.0,4.0,11.0,8.0,12.0,12.0,8.0,15.0,6.0,10.0,12.0,14.0,4.0,0.0,7.0,6.0,10.0,6.0,6.0,9.0,6.0,1.0,13.0,7.0,2.0,9.0,7.0,13.0,10.0,10.0,11.0,11.0,5.0,6.0,4.0,12.0,1.0
200,8.28,8.0,2.0,16.0,3.3289037,8.0,12.0,7.0,6.0,11.0,4.0,4.0,14.0,5.0,6.0,14.0,7.0,13.0,9.0,14.0,11.0,13.0,10.0,7.0,6.0,12.0,13.0,5.0,8.0,12.0,9.0,10.0,13.0,13.0,9.0,11.0,8.0,9.0,2.0,11.0,10.0,10.0,5.0,2.0,2.0,6.0,5.0,13.0,11.0,7.0,4.0,6.0,6.0,10.0,4.0,11.0,4.0,16.0,6.0,13.0,14.0,11.0,10.0,4.0,4.0,9.0,7.0,5.0,6.0,3.0,12.0,14.0,8.0,13.0,2.0,8.0,3.0,7.0,6.0,7.0,4.0,10.0,9.0,11.0,5.0,13.0,6.0,7.0,6.0,6.0,6.0,6.0,9.0,9.0,6.0,6.0,12.0,8.0,8.0,9.0,6.0,9.0,9.0,8.0,10.0
300,8.71,9.0,2.0,22.0,3.3355508,10.0,8.0,10.0,6.0,13.0,12.0,13.0,6.0,10.0,14.0,13.0,9.0,6.0,6.0,12.0,15.0,8.0,8.0,11.0,6.0,9.0,6.0,8.0,7.0,16.0,3.0,4.0,7.0,4.0,8.0,10.0,5.0,7.0,6.0,10.0,11.0,3.0,13.0,10.0,12.0,13.0,13.0,11.0,9.0,4.0,9.0,12.0,12.0,9.0,12.0,22.0,14.0,7.0,12.0,4.0,6.0,6.0,7.0,12.0,9.0,8.0,2.0,6.0,6.0,7.0,10.0,8.0,11.0,6.0,6.0,5.0,7.0,10.0,10.0,6.0,9.0,8.0,4.0,13.0,8.0,11.0,8.0,9.0,9.0,11.0,10.0,5.0,10.0,6.0,8.0,10.0,9.0,4.0,2.0,6.0,6.0,10.0,5.0,13.0,11.0
400,8.73,9.0,2.0,16.0,3.4083865,9.0,11.0,13.0,4.0,9.0,4.0,7.0,10.0,15.0,9.0,12.0,6.0,4.0,9.0,6.0,7.0,4.0,7.0,11.0,6.0,6.0,7.0,6.0,2.0,10.0,8.0,3.0,11.0,7.0,12.0,13.0,7.0,12.0,8.0,4.0,6.0,16.0,11.0,6.0,9.0,6.0,10.0,3.0,16.0,6.0,11.0,11.0,11.0,14.0,9.0,7.0,15.0,16.0,13.0,8.0,7.0,5.0,13.0,11.0,12.0,8.0,14.0,13.0,8.0,6.0,4.0,11.0,10.0,10.0,9.0,8.0,4.0,14.0,7.0,13.0,5.0,10.0,9.0,13.0,15.0,6.0,9.0,3.0,4.0,10.0,5.0,7.0,11.0,9.0,6.0,6.0,14.0,8.0,8.0,11.0,4.0,9.0,9.0,7.0,5.0
500,9.43,9.0,2.0,18.0,3.290152,12.0,10.0,6.0,9.0,10.0,14.0,7.0,7.0,5.0,9.0,11.0,12.0,4.0,7.0,6.0,14.0,13.0,8.0,12.0,14.0,10.0,14.0,6.0,8.0,11.0,15.0,12.0,15.0,9.0,10.0,7.0,6.0,11.0,6.0,8.0,4.0,9.0,18.0,8.0,9.0,12.0,9.0,11.0,10.0,8.0,11.0,6.0,7.0,10.0,11.0,11.0,4.0,9.0,8.0,11.0,6.0,6.0,12.0,7.0,4.0,13.0,4.0,9.0,10.0,15.0,3.0,11.0,14.0,6.0,11.0,9.0,12.0,15.0,8.0,12.0,8.0,4.0,13.0,9.0,9.0,10.0,11.0,12.0,6.0,8.0,13.0,9.0,9.0,12.0,10.0,15.0,13.0,15.0,9.0,4.0,3.0,7.0,8.0,13.0,2.0
600,9.04,9.0,2.0,17.0,3.1651855,10.0,8.0,9.0,12.0,13.0,8.0,7.0,4.0,5.0,9.0,9.0,9.0,6.0,4.0,12.0,16.0,10.0,6.0,12.0,11.0,10.0,5.0,7.0,8.0,10.0,9.0,11.0,8.0,9.0,16.0,8.0,7.0,10.0,11.0,5.0,13.0,14.0,8.0,9.0,8.0,8.0,7.0,4.0,7.0,15.0,4.0,17.0,14.0,14.0,6.0,5.0,6.0,4.0,8.0,12.0,2.0,11.0,10.0,9.0,8.0,10.0,8.0,13.0,10.0,13.0,12.0,7.0,13.0,6.0,11.0,6.0,10.0,11.0,6.0,5.0,13.0,6.0,12.0,8.0,14.0,8.0,16.0,6.0,9.0,9.0,6.0,13.0,7.0,4.0,6.0,11.0,9.0,7.0,8.0,13.0,8.0,6.0,8.0,10.0,9.0
700,8.92,8.0,3.0,21.0,3.3065994,4.0,10.0,7.0,10.0,6.0,11.0,15.0,8.0,14.0,9.0,8.0,7.0,10.0,7.0,8.0,8.0,9.0,6.0,6.0,12.0,11.0,8.0,5.0,3.0,8.0,11.0,10.0,6.0,3.0,9.0,21.0,8.0,17.0,8.0,8.0,7.0,8.0,8.0,7.0,12.0,7.0,11.0,14.0,8.0,4.0,10.0,5.0,11.0,8.0,5.0,8.0,11.0,6.0,14.0,4.0,13.0,8.0,13.0,9.0,6.0,7.0,15.0,3.0,10.0,8.0,6.0,8.0,8.0,6.0,12.0,15.0,13.0,14.0,9.0,4.0,12.0,6.0,9.0,11.0,6.0,7.0,9.0,9.0,15.0,12.0,8.0,4.0,8.0,8.0,6.0,8.0,11.0,9.0,12.0,8.0,9.0,10.0,8.0,5.0,16.0
800,8.76,8.0,2.0,22.0,3.6280022,6.0,10.0,9.0,6.0,12.0,6.0,6.0,6.0,5.0,11.0,5.0,9.0,5.0,12.0,5.0,10.0,7.0,6.0,4.0,9.0,14.0,8.0,10.0,10.0,9.0,10.0,14.0,7.0,10.0,11.0,4.0,22.0,8.0,17.0,12.0,16.0,20.0,10.0,9.0,3.0,15.0,6.0,7.0,8.0,8.0,14.0,7.0,11.0,14.0,6.0,10.0,15.0,10.0,9.0,8.0,4.0,4.0,7.0,6.0,4.0,8.0,4.0,13.0,8.0,6.0,12.0,6.0,10.0,6.0,10.0,7.0,10.0,10.0,4.0,6.0,6.0,11.0,6.0,4.0,8.0,5.0,9.0,14.0,11.0,9.0,9.0,5.0,2.0,7.0,13.0,14.0,9.0,5.0,13.0,10.0,7.0,10.0,7.0,8.0,8.0
900,8.99,8.0,2.0,18.0,3.4999857,8.0,9.0,6.0,11.0,13.0,8.0,8.0,12.0,8.0,6.0,17.0,17.0,8.0,10.0,18.0,8.0,5.0,13.0,8.0,12.0,14.0,9.0,9.0,3.0,7.0,11.0,12.0,8.0,4.0,15.0,5.0,13.0,13.0,10.0,11.0,8.0,8.0,5.0,9.0,13.0,4.0,7.0,9.0,7.0,5.0,6.0,16.0,8.0,6.0,14.0,10.0,7.0,13.0,7.0,8.0,7.0,9.0,10.0,14.0,9.0,13.0,5.0,6.0,10.0,11.0,10.0,4.0,3.0,10.0,16.0,5.0,12.0,14.0,4.0,16.0,7.0,4.0,4.0,7.0,11.0,7.0,9.0,6.0,7.0,8.0,5.0,9.0,7.0,2.0,10.0,8.0,9.0,11.0,12.0,6.0,7.0,8.0,6.0,14.0,8.0
1000,9.33,9.0,2.0,23.0,3.6140141,11.0,10.0,12.0,10.0,6.0,8.0,7.0,12.0,8.0,7.0,14.0,11.0,10.0,8.0,6.0,7.0,13.0,13.0,12.0,7.0,13.0,6.0,9.0,17.0,17.0,13.0,14.0,8.0,6.0,11.0,11.0,12.0,10.0,11.0,15.0,8.0,15.0,4.0,6.0,6.0,7.0,9.0,7.0,7.0,6.0,10.0,13.0,10.0,6.0,10.0,4.0,12.0,10.0,7.0,6.0,4.0,5.0,9.0,10.0,4.0,7.0,2.0,9.0,10.0,7.0,19.0,10.0,5.0,6.0,10.0,13.0,9.0,23.0,4.0,8.0,20.0,8.0,8.0,10.0,5.0,7.0,5.0,9.0,9.0,8.0,9.0,12.0,7.0,10.0,12.0,9.0,16.0,10.0,6.0,10.0,10.0,8.0,6.0,9.0,8.0
